student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1000,Student_0,Grade 8,74.1,79.9,84.5,34.7,7.9,71.6
S1001,Student_1,Grade 10,92.5,88.9,88.4,60.6,141.2,78.0
S1002,Student_2,Grade 9,81.4,87.3,65.5,43.2,5.0,67.4
S1003,Student_3,Grade 8,63.1,74.2,53.7,37.7,20.7,51.4
S1004,Student_4,Grade 7,59.2,67.4,71.9,42.1,53.6,58.1
S1005,Student_5,Grade 7,75.9,81.0,54.8,45.6,48.8,59.5
S1006,Student_6,Grade 6,54.2,64.8,95.2,27.3,22.0,61.7
S1007,Student_7,Grade 10,92.0,100.0,67.0,53.9,17.0,68.0
S1008,Student_8,Grade 9,84.2,98.0,59.5,49.4,20.3,71.1
S1009,Student_9,Grade 9,64.4,70.9,67.8,34.2,12.3,60.7
S1010,Student_10,Grade 6,49.4,47.8,44.8,26.6,9.2,43.3
S1011,Student_11,Grade 10,86.2,87.7,50.4,70.9,26.4,89.0
S1012,Student_12,Grade 10,68.6,80.7,83.0,47.9,12.5,70.1
S1013,Student_13,Grade 7,84.9,76.7,55.1,47.4,13.6,61.0
S1014,Student_14,Grade 7,50.9,54.6,49.3,38.9,42.8,46.6
S1015,Student_15,Grade 7,62.8,58.9,73.0,33.7,138.4,45.7
S1016,Student_16,Grade 7,70.1,70.4,82.8,56.1,37.0,66.6
S1017,Student_17,Grade 8,70.6,83.3,75.8,46.8,5.0,62.7
S1018,Student_18,Grade 8,64.6,66.5,79.9,37.5,5.0,66.3
S1019,Student_19,Grade 7,77.5,77.9,53.6,51.9,121.0,61.8
S1020,Student_20,Grade 9,57.2,43.6,43.7,15.5,14.1,41.3
S1021,Student_21,Grade 6,68.3,75.8,87.5,27.5,5.0,60.6
S1022,Student_22,Grade 7,71.4,77.9,60.2,28.5,36.6,71.2
S1023,Student_23,Grade 8,76.2,97.8,61.2,47.4,39.1,68.5
S1024,Student_24,Grade 8,78.5,75.5,84.9,67.9,41.8,84.5
S1025,Student_25,Grade 9,56.5,58.7,73.3,60.7,12.4,63.1
S1026,Student_26,Grade 7,51.6,54.1,71.8,38.6,5.0,54.6
